vehicle_number,total_violations,first_violation,last_violation,unique_zones,top_zone,vehicle_type,top_violation_type,span_days,violations_per_month,rank
FKN00GL7586,20,2024-01-07,2024-04-04,1,Shivajinagar,SCOOTER,NO PARKING,89,6.74,77
FKN00GL7612,20,2023-12-27,2024-04-07,2,Hulimavu,CAR,WRONG PARKING,103,5.83,78
FKN00GL22537,20,2023-12-07,2024-04-07,1,Upparpet,SCOOTER,NO PARKING,123,4.88,79
FKN00GL1048,20,2023-11-30,2024-04-02,1,HAL Old Airport,SCOOTER,NO PARKING,125,4.8,80
FKN00GL19006,20,2023-11-22,2024-03-12,1,Vijayanagara,MOTOR CYCLE,WRONG PARKING,112,5.36,81
FKN00GL3018,20,2023-11-17,2024-02-02,2,Vijayanagara,SCOOTER,WRONG PARKING,78,7.69,82
FKN00GL6946,20,2023-11-14,2024-02-06,1,High ground,SCOOTER,WRONG PARKING,85,7.06,83
FKN00GL6860,20,2023-11-15,2024-04-06,1,Upparpet,CAR,NO PARKING,144,4.17,84
FKN00GL10449,20,2023-11-28,2024-03-11,1,Upparpet,CAR,NO PARKING,105,5.71,85
FKN00GL1243,20,2023-12-06,2024-04-07,1,Rajajinagar,CAR,WRONG PARKING,124,4.84,86
FKN00GL0734,20,2023-11-16,2024-01-06,1,Malleshwaram,CAR,NO PARKING,52,11.54,87
FKN00GL10831,19,2023-11-12,2024-01-27,1,Shivajinagar,SCOOTER,NO PARKING,77,7.4,88
FKN00GL6423,19,2023-12-25,2024-02-07,2,Kodigehalli,SCOOTER,NO PARKING,45,12.67,89
FKN00GL0954,19,2023-12-16,2024-04-06,1,HAL Old Airport,SCOOTER,NO PARKING,113,5.04,90
FKN00GL20170,19,2023-11-10,2024-04-08,1,Rajajinagar,LGV,PARKING IN A MAIN ROAD,151,3.77,91
FKN00GL2993,19,2023-11-15,2024-02-02,1,High ground,SCOOTER,WRONG PARKING,80,7.12,92
FKN00GL56080,19,2023-11-23,2024-03-08,1,Shivajinagar,SCOOTER,WRONG PARKING,107,5.33,93
FKN00GL4020,19,2024-01-23,2024-04-06,1,Rajajinagar,SCOOTER,WRONG PARKING,75,7.6,94
FKN00GL3832,19,2023-11-16,2024-02-07,1,Jalahalli,MOTOR CYCLE,NO PARKING,84,6.79,95
FKN00GL11463,19,2023-12-05,2024-02-23,1,Upparpet,SCOOTER,NO PARKING,81,7.04,96
FKN00GL6219,19,2023-11-24,2024-03-31,4,Rajajinagar,SCOOTER,WRONG PARKING,129,4.42,97
FKN00GL32651,19,2023-11-12,2024-03-17,1,Shivajinagar,SCOOTER,NO PARKING,127,4.49,98
FKN00GL33465,19,2023-11-10,2024-03-11,1,Upparpet,SCOOTER,NO PARKING,123,4.63,99
FKN00GL7916,19,2023-11-11,2024-04-07,2,Upparpet,SCOOTER,NO PARKING,149,3.83,100
FKN00GL19014,19,2023-11-10,2024-04-06,1,Upparpet,CAR,NO PARKING,149,3.83,101
FKN00GL21004,19,2023-11-11,2024-03-23,1,Rajajinagar,SCOOTER,WRONG PARKING,134,4.25,102
FKN00GL12905,19,2023-12-02,2024-02-20,1,Halasur,MAXI-CAB,NO PARKING,81,7.04,103
FKN00GL4480,19,2024-01-09,2024-03-28,1,Kodigehalli,SCOOTER,WRONG PARKING,80,7.12,104
FKN00GL9990,19,2023-11-14,2024-02-08,1,High ground,SCOOTER,WRONG PARKING,87,6.55,105
FKN00GL9606,19,2023-11-10,2024-04-07,1,Rajajinagar,CAR,WRONG PARKING,150,3.8,106
FKN00GL20898,19,2023-11-16,2024-03-23,1,Upparpet,SCOOTER,WRONG PARKING,129,4.42,107
FKN00GL2735,19,2023-11-21,2024-03-28,1,HAL Old Airport,SCOOTER,NO PARKING,129,4.42,108
FKN00GL19786,18,2023-11-29,2024-04-05,2,Upparpet,SCOOTER,WRONG PARKING,129,4.19,109
FKN00GL0930,18,2023-11-10,2024-03-09,1,Malleshwaram,PASSENGER AUTO,WRONG PARKING,121,4.46,110
FKN00GL11705,18,2023-11-14,2024-01-24,1,High ground,SCOOTER,WRONG PARKING,72,7.5,111
FKN00GL24491,18,2023-12-01,2024-03-24,1,Kodigehalli,SCOOTER,WRONG PARKING,115,4.7,112
FKN00GL4107,18,2023-11-28,2024-02-27,2,Malleshwaram,CAR,NO PARKING,92,5.87,113
FKN00GL7354,18,2024-01-01,2024-03-18,1,HAL Old Airport,SCOOTER,PARKING IN A MAIN ROAD,78,6.92,114
FKN00GL60534,18,2023-11-11,2024-04-06,1,Upparpet,SCOOTER,NO PARKING,148,3.65,115
FKN00GL1032,18,2023-12-13,2024-03-15,1,HAL Old Airport,SCOOTER,NO PARKING,94,5.74,116
FKN00GL1641,18,2023-11-11,2024-02-23,1,Upparpet,SCOOTER,NO PARKING,105,5.14,117
FKN00GL1049,18,2024-02-20,2024-03-28,1,HAL Old Airport,SCOOTER,NO PARKING,38,14.21,118
FKN00GL6629,18,2024-01-01,2024-02-06,1,Kodigehalli,MOTOR CYCLE,WRONG PARKING,37,14.59,119
FKN00GL2715,18,2023-11-15,2024-03-28,1,HAL Old Airport,MOTOR CYCLE,NO PARKING,135,4.0,120
FKN00GL6652,18,2024-01-10,2024-04-03,1,Rajajinagar,TEMPO,WRONG PARKING,85,6.35,121
FKN00GL6391,18,2023-12-04,2024-03-28,1,Magadi Road,CAR,NO PARKING,116,4.66,122
FKN00GL4341,18,2023-12-06,2024-03-28,1,Vijayanagara,MOTOR CYCLE,WRONG PARKING,114,4.74,123
FKN00GL44151,18,2023-11-11,2024-03-10,1,Upparpet,MOTOR CYCLE,NO PARKING,121,4.46,124
FKN00GL0889,17,2023-12-16,2024-03-15,1,HAL Old Airport,SCOOTER,NO PARKING,91,5.6,125
FKN00GL2317,17,2023-11-12,2024-02-23,2,Upparpet,CAR,NO PARKING,104,4.9,126
FKN00GL17808,17,2023-11-21,2024-03-12,1,HAL Old Airport,MOTOR CYCLE,NO PARKING,113,4.51,127
FKN00GL58024,17,2023-11-15,2024-03-17,1,Shivajinagar,SCOOTER,NO PARKING,124,4.11,128
FKN00GL3502,17,2023-11-15,2024-03-28,1,HAL Old Airport,MOTOR CYCLE,NO PARKING,135,3.78,129
FKN00GL111727,17,2023-11-14,2024-01-03,1,Upparpet,MOTOR CYCLE,NO PARKING,51,10.0,130
FKN00GL73563,17,2023-11-12,2024-03-23,1,Upparpet,SCOOTER,NO PARKING,133,3.83,131
FKN00GL1880,17,2023-11-14,2024-03-29,1,Shivajinagar,SCOOTER,NO PARKING,137,3.72,132
FKN00GL0049,17,2023-11-26,2024-03-10,1,Electronic City,SCOOTER,WRONG PARKING,106,4.81,133
FKN00GL51416,17,2023-12-22,2024-04-06,1,Upparpet,CAR,NO PARKING,107,4.77,134
FKN00GL5280,17,2023-11-10,2024-04-03,1,Rajajinagar,CAR,WRONG PARKING,146,3.49,135
FKN00GL18168,17,2023-11-15,2024-02-23,1,HAL Old Airport,SCOOTER,NO PARKING,101,5.05,136
FKN00GL41563,17,2023-11-18,2024-04-03,1,Rajajinagar,TEMPO,WRONG PARKING,138,3.7,137
FKN00GL12904,17,2023-12-02,2024-02-10,1,Halasur,CAR,NO PARKING,71,7.18,138
FKN00GL0397,17,2023-11-12,2024-04-07,2,Upparpet,SCOOTER,NO PARKING,148,3.45,139
FKN00GL5111,17,2023-11-09,2024-04-05,2,Rajajinagar,SCOOTER,WRONG PARKING,149,3.42,140
FKN00GL7926,17,2023-12-12,2024-03-19,1,Malleshwaram,CAR,NO PARKING,99,5.15,141
FKN00GL11577,17,2023-11-12,2024-04-07,1,Upparpet,SCOOTER,NO PARKING,148,3.45,142
FKN00GL3695,17,2024-01-10,2024-04-06,1,HAL Old Airport,SCOOTER,NO PARKING,88,5.8,143
FKN00GL7952,17,2024-02-14,2024-04-07,2,Hulimavu,LORRY/GOODS VEHICLE,WRONG PARKING,54,9.44,144
FKN00GL10031,17,2023-11-21,2024-03-15,1,HAL Old Airport,MOTOR CYCLE,NO PARKING,116,4.4,145
FKN00GL25145,17,2023-11-13,2024-04-01,2,Shivajinagar,SCOOTER,WRONG PARKING,141,3.62,146
FKN00GL13988,17,2023-11-25,2024-03-09,1,City Market,SCOOTER,WRONG PARKING,106,4.81,147
FKN00GL8154,17,2023-12-17,2024-02-24,1,Kodigehalli,SCOOTER,WRONG PARKING,70,7.29,148
FKN00GL50347,16,2023-11-11,2024-04-04,1,Upparpet,SCOOTER,WRONG PARKING,146,3.29,149
FKN00GL49799,16,2023-11-12,2024-04-07,1,Shivajinagar,SCOOTER,NO PARKING,148,3.24,150
FKN00GL6780,16,2023-12-11,2024-03-05,2,Malleshwaram,CAR,NO PARKING,86,5.58,151
FKN00GL2863,16,2023-12-06,2024-02-01,1,Vijayanagara,SCOOTER,WRONG PARKING,58,8.28,152
FKN00GL16020,16,2023-12-11,2024-04-06,1,Upparpet,LGV,WRONG PARKING,118,4.07,153
FKN00GL6630,16,2024-01-29,2024-03-30,1,Kodigehalli,MOTOR CYCLE,WRONG PARKING,62,7.74,154
FKN00GL16534,16,2023-12-22,2024-03-22,1,HAL Old Airport,SCOOTER,NO PARKING,92,5.22,155
FKN00GL7161,16,2023-11-16,2024-02-15,1,Jalahalli,MOTOR CYCLE,NO PARKING,92,5.22,156
FKN00GL14212,16,2023-11-29,2024-04-06,1,HAL Old Airport,SCOOTER,WRONG PARKING,130,3.69,157
FKN00GL4516,16,2023-11-10,2024-04-04,1,Upparpet,LGV,WRONG PARKING,147,3.27,158
FKN00GL23586,16,2023-12-31,2024-03-30,1,Shivajinagar,PASSENGER AUTO,NO PARKING,91,5.27,159
FKN00GL4759,16,2023-11-20,2024-04-04,1,Shivajinagar,SCOOTER,WRONG PARKING,137,3.5,160
FKN00GL2353,16,2023-11-17,2024-04-07,1,Upparpet,CAR,NO PARKING,143,3.36,161
FKN00GL0088,16,2023-11-14,2024-02-10,2,High ground,SCOOTER,WRONG PARKING,89,5.39,162
FKN00GL54261,16,2023-12-09,2024-03-22,1,HAL Old Airport,SCOOTER,NO PARKING,105,4.57,163
FKN00GL101845,16,2023-11-14,2023-12-30,1,Shivajinagar,SCOOTER,NO PARKING,47,10.21,164
FKN00GL10586,16,2023-12-09,2024-04-03,1,Upparpet,LGV,WRONG PARKING,117,4.1,165
FKN00GL2996,16,2023-11-21,2024-04-02,2,High ground,SCOOTER,WRONG PARKING,134,3.58,166
FKN00GL0938,16,2024-01-05,2024-03-22,1,HAL Old Airport,SCOOTER,NO PARKING,78,6.15,167
FKN00GL1473,16,2023-11-28,2024-03-27,2,Vijayanagara,LGV,WRONG PARKING,121,3.97,168
FKN00GL9159,16,2024-02-01,2024-04-06,1,Banaswadi,SCOOTER,WRONG PARKING,66,7.27,169
FKN00GL3242,16,2023-11-15,2024-03-28,1,HAL Old Airport,SCOOTER,NO PARKING,135,3.56,170
FKN00GL6175,16,2023-11-12,2024-02-02,1,Rajajinagar,SCOOTER,WRONG PARKING,83,5.78,171
FKN00GL32407,16,2023-11-11,2024-03-26,1,Upparpet,CAR,NO PARKING,137,3.5,172
FKN00GL0990,16,2023-12-09,2024-03-20,1,HAL Old Airport,MOTOR CYCLE,NO PARKING,103,4.66,173
FKN00GL16984,16,2023-11-15,2024-03-21,1,HAL Old Airport,MOTOR CYCLE,NO PARKING,128,3.75,174
FKN00GL68690,16,2023-11-14,2024-03-11,1,City Market,SCOOTER,WRONG PARKING,119,4.03,175
FKN00GL27365,16,2023-11-10,2024-04-07,1,Malleshwaram,CAR,WRONG PARKING,150,3.2,176
FKN00GL38195,16,2023-11-19,2024-04-04,1,Shivajinagar,PASSENGER AUTO,WRONG PARKING,138,3.48,177
FKN00GL11800,16,2023-11-15,2024-04-08,1,Upparpet,MOTOR CYCLE,NO PARKING,146,3.29,178
FKN00GL40079,16,2023-11-11,2024-03-23,2,Hebbala,SCOOTER,NO PARKING,134,3.58,179
FKN00GL7945,16,2024-01-17,2024-02-15,1,Kodigehalli,SCOOTER,WRONG PARKING,30,16.0,180
FKN00GL62335,16,2023-11-22,2024-04-05,2,Malleshwaram,SCOOTER,WRONG PARKING,136,3.53,181
FKN00GL0923,16,2023-11-15,2024-03-15,1,HAL Old Airport,SCOOTER,WRONG PARKING,122,3.93,182
FKN00GL32527,16,2023-11-11,2024-03-27,1,Shivajinagar,MOTOR CYCLE,WRONG PARKING,138,3.48,183
FKN00GL9032,16,2023-12-14,2024-03-14,1,Jeevanbheemanagar,SCOOTER,NO PARKING,92,5.22,184
FKN00GL15781,16,2023-12-11,2024-03-30,2,Shivajinagar,PASSENGER AUTO,WRONG PARKING,111,4.32,185
FKN00GL15642,16,2023-12-12,2024-04-04,1,Madiwala,PRIVATE BUS,NO PARKING,115,4.17,186
FKN00GL17572,16,2023-12-09,2024-01-19,1,Upparpet,CAR,NO PARKING,42,11.43,187
FKN00GL31097,16,2023-11-26,2024-03-05,1,Kodigehalli,SCOOTER,WRONG PARKING,101,4.75,188
FKN00GL35636,16,2023-11-17,2024-03-07,1,Shivajinagar,SCOOTER,NO PARKING,112,4.29,189
FKN00GL17853,16,2023-11-15,2024-03-27,1,HAL Old Airport,MOTOR CYCLE,NO PARKING,134,3.58,190
FKN00GL14734,16,2023-11-17,2024-04-07,2,Rajajinagar,SCOOTER,NO PARKING,143,3.36,191
FKN00GL0085,15,2023-11-11,2024-04-06,1,Shivajinagar,SCOOTER,WRONG PARKING,148,3.04,192
FKN00GL8470,15,2023-11-12,2024-04-06,2,Upparpet,CAR,NO PARKING,147,3.06,193
FKN00GL86275,15,2023-11-12,2024-04-08,1,Rajajinagar,SCHOOL VEHICLE,NO PARKING,149,3.02,194
FKN00GL18293,15,2023-12-13,2024-03-18,1,HAL Old Airport,SCOOTER,PARKING IN A MAIN ROAD,97,4.64,195
FKN00GL18220,15,2023-11-15,2024-02-23,1,HAL Old Airport,MOTOR CYCLE,NO PARKING,101,4.46,196
FKN00GL2378,15,2023-11-14,2024-02-08,1,High ground,MOTOR CYCLE,WRONG PARKING,87,5.17,197
FKN00GL1301,15,2023-11-30,2024-04-01,1,Vijayanagara,SCOOTER,NO PARKING,124,3.63,198
FKN00GL19357,15,2023-11-10,2024-03-29,1,Upparpet,CAR,NO PARKING,141,3.19,199
FKN00GL18326,15,2023-12-16,2024-03-30,1,Kodigehalli,SCOOTER,WRONG PARKING,106,4.25,200
FKN00GL0935,15,2023-11-12,2024-02-16,1,Malleshwaram,CAR,WRONG PARKING,97,4.64,201
FKN00GL45098,15,2023-11-18,2024-03-29,2,Shivajinagar,PASSENGER AUTO,WRONG PARKING,133,3.38,202
FKN00GL0369,15,2024-01-04,2024-04-05,1,HAL Old Airport,MOTOR CYCLE,WRONG PARKING,93,4.84,203
FKN00GL18450,15,2023-11-15,2024-02-14,2,Vijayanagara,SCOOTER,NO PARKING,92,4.89,204
FKN00GL41594,15,2023-11-12,2024-04-07,3,Hulimavu,LGV,WRONG PARKING,148,3.04,205
FKN00GL4184,15,2023-11-11,2024-03-30,1,Shivajinagar,PASSENGER AUTO,NO PARKING,141,3.19,206
FKN00GL4211,15,2023-12-08,2024-01-30,1,Mico Layout,SCOOTER,NO PARKING,54,8.33,207
FKN00GL44125,15,2023-11-16,2024-04-03,1,Upparpet,SCOOTER,NO PARKING,140,3.21,208
FKN00GL1911,15,2023-12-03,2024-03-22,1,Upparpet,SCOOTER,NO PARKING,111,4.05,209
FKN00GL14755,15,2023-12-01,2024-04-01,3,Banashankari,SCOOTER,NO PARKING,123,3.66,210
FKN00GL17806,15,2023-11-17,2024-01-16,1,HAL Old Airport,SCOOTER,NO PARKING,61,7.38,211
FKN00GL11663,15,2024-01-05,2024-03-12,1,HAL Old Airport,SCOOTER,PARKING IN A MAIN ROAD,68,6.62,212
FKN00GL8261,15,2023-12-12,2024-04-07,1,Upparpet,SCOOTER,NO PARKING,118,3.81,213
FKN00GL8211,15,2023-11-10,2024-02-28,1,Upparpet,SCOOTER,NO PARKING,111,4.05,214
FKN00GL14081,15,2023-11-21,2024-03-22,1,HAL Old Airport,SCOOTER,WRONG PARKING,123,3.66,215
FKN00GL8821,15,2024-03-29,2024-04-04,1,Malleshwaram,MOTOR CYCLE,NO PARKING,7,64.29,216
FKN00GL14388,15,2023-11-21,2024-04-01,1,Upparpet,SCOOTER,WRONG PARKING,133,3.38,217
FKN00GL14101,15,2023-11-15,2024-03-12,1,HAL Old Airport,SCOOTER,NO PARKING,119,3.78,218
FKN00GL38849,15,2023-11-14,2024-02-15,1,Upparpet,MOTOR CYCLE,NO PARKING,94,4.79,219
FKN00GL11030,15,2023-11-15,2024-04-04,1,Upparpet,LGV,WRONG PARKING,142,3.17,220
FKN00GL10599,15,2023-11-21,2024-03-22,1,Upparpet,LGV,WRONG PARKING,123,3.66,221
FKN00GL10011,15,2023-11-16,2024-02-24,1,HAL Old Airport,MOTOR CYCLE,NO PARKING,101,4.46,222
FKN00GL17374,15,2024-01-02,2024-03-18,1,HAL Old Airport,SCOOTER,WRONG PARKING,77,5.84,223
FKN00GL11015,15,2023-11-16,2024-03-29,1,Shivajinagar,SCOOTER,WRONG PARKING,135,3.33,224
FKN00GL7168,15,2023-12-19,2024-02-07,1,Jalahalli,SCOOTER,WRONG PARKING,51,8.82,225
FKN00GL26521,15,2024-03-13,2024-03-13,1,Hulimavu,MOTOR CYCLE,WRONG PARKING,1,450.0,226
FKN00GL26501,15,2024-03-13,2024-03-13,1,Hulimavu,MOTOR CYCLE,WRONG PARKING,1,450.0,227
FKN00GL26490,15,2024-03-13,2024-03-13,1,Hulimavu,SCOOTER,WRONG PARKING,1,450.0,228
FKN00GL31294,15,2023-12-31,2024-03-23,2,Kodigehalli,SCOOTER,WRONG PARKING,84,5.36,229
FKN00GL15995,15,2023-11-12,2024-02-26,1,Shivajinagar,MOTOR CYCLE,NO PARKING,107,4.21,230
FKN00GL27266,15,2023-11-13,2024-03-09,1,Shivajinagar,SCOOTER,WRONG PARKING,118,3.81,231
FKN00GL2687,15,2023-11-14,2024-04-06,1,Rajajinagar,SCOOTER,WRONG PARKING,145,3.1,232
FKN00GL5016,15,2023-11-18,2024-03-29,2,Sheshadripuram,SCOOTER,NO PARKING,133,3.38,233
FKN00GL7134,15,2023-11-23,2024-04-04,1,Shivajinagar,PASSENGER AUTO,WRONG PARKING,134,3.36,234
FKN00GL12424,15,2024-02-04,2024-03-08,1,Banaswadi,MOTOR CYCLE,WRONG PARKING,34,13.24,235
FKN00GL20686,15,2023-11-18,2024-01-23,1,Rajajinagar,SCOOTER,WRONG PARKING,67,6.72,236
FKN00GL0373,14,2024-01-01,2024-03-15,1,HAL Old Airport,MOTOR CYCLE,NO PARKING,75,5.6,237
FKN00GL94778,14,2023-11-16,2024-03-03,1,Upparpet,SCOOTER,NO PARKING,109,3.85,238
